1,4,"Professional swimming goggles with a perfect fit.",5
1,12,"Portable basketball hoop is sturdy and easy to install.",5
2,7,"Traditional wooden lacrosse stick feels great during play.",4
3,17,"Official lacrosse balls are great for practice.",4
4,25,"Regulation-sized lacrosse goal for practice.",4
4,28,"Youth football shoulder pads for protection.",4
4,47,"Comfortable soccer socks suitable for matches.",3
4,8,"Authentic NBA replica basketball jersey looks great.",4
5,26,"Durable all-weather basketball net.",4
5,40,"Durable training cones for soccer drills.",5
5,21,"Portable and durable basketball pump.",4
6,33,"Protective lacrosse helmet for players.",5
6,37,"Specialized track spikes for sprinting events.",5
6,5,"The aluminum baseball bat is lightweight and easy to swing.",4
7,42,"Portable and durable basketball pump.",3
7,46,"Durable referee whistle for basketball games.",5
7,2,"Great soccer ball! Feels good to play with and holds air well.",5
8,6,"Spiked track shoes are perfect for sprinting races.",5
8,44,"Protective gloves for lacrosse players.",5
8,29,"Regulation soccer goal for practice.",5
8,34,"Sturdy football cleats suitable for natural and artificial grass.",4
8,18,"Durable acrylic basketball backboard.",5
9,1,"The football helmet is sturdy and provides excellent protection.",4
9,11,"Football gloves offer decent grip and protection.",3
9,14,"Short-blade swimming fins have improved my technique.",5
9,20,"Lightweight football cleats suitable for natural grass.",5
9,38,"Silicone swimming ear plugs for water protection.",3
9,49,"Long-blade swimming fins for improving technique.",5
9,23,"Youth-sized baseball helmet for batting protection.",3
10,10,"Silicone swimming cap is comfortable for long training sessions.",4
10,19,"EVA foam swimming kickboard is great for training.",4
10,41,"Adjustable baseball cap for sports enthusiasts.",4
10,13,"Youth baseball glove is easy to break in.",4
11,9,"Firm ground soccer cleats provide excellent traction.",5
11,16,"Professional-grade soccer goalkeeper gloves are durable.",4
11,30,"Youth-sized baseball glove for infield and outfield.",4
12,15,"Lightweight and breathable track shorts.",4
12,22,"Soccer shin guards provide good ankle protection.",4
12,27,"Silicone swimming nose clip for preventing water entry.",3
12,48,"Spacious baseball bag for equipment storage.",4
12,31,"Comfortable basketball shorts suitable for training.",3
13,39,"Official NFL replica football jersey.",4
13,45,"Relay race track baton for competitions.",4
14,35,"Durable soccer net for practice drills.",4
14,43,"EVA foam swimming kickboard for beginners.",4
14,3,"Basketball shoes are comfortable and provide good ankle support.",4
14,24,"Adjustable track starting blocks for sprinters.",5
15,32,"Inflatable swimming pool float for relaxation.",4
15,36,"Moisture-wicking basketball headband.",4
